playerID,year,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,team_wins,team_losses,conference_rank,playoff_made,confID
cantydo01w,6,997,270,108,101,29,2,67,75,238,95,110,80,19,15,3,1,1
cantydo01w,7,431,164,52,44,17,0,35,36,105,54,77,56,18,16,3,1,1
cantydo01w,8,776,259,64,123,30,4,57,42,241,87,115,81,14,20,6,0,0
cantydo01w,9,737,226,71,115,28,3,54,74,180,71,124,83,12,22,5,0,0
cantydo01w,10,776,234,63,109,28,5,57,96,194,74,119,82,16,18,5,0,0
careyja01w,6,86,18,6,7,2,0,4,9,19,7,0,0,26,8,1,1,0
careyja01w,7,286,63,16,32,7,0,17,24,58,22,5,5,26,8,1,1,0
careyja01w,8,419,112,30,30,4,0,16,30,101,37,8,6,18,16,3,1,0
careyja01w,9,499,137,40,47,8,1,22,24,111,47,10,9,21,13,2,1,0
carsoes01w,9,646,223,76,31,32,8,35,49,245,92,46,31,19,15,3,1,0
carsoes01w,10,859,340,72,46,37,10,54,76,321,131,48,44,13,21,7,0,0
carteam01w,5,13,1,4,0,2,0,3,5,0,0,2,1,17,17,3,1,0
carteam01w,6,13,0,2,0,0,0,1,4,1,0,0,0,18,16,3,1,0
cashsw01w,3,1079,474,222,86,37,31,100,85,353,144,227,173,9,23,8,0,0
cashsw01w,4,1097,548,193,119,43,23,108,76,430,195,214,146,25,9,1,1,0
cashsw01w,5,1105,526,208,135,44,29,81,84,384,180,219,158,17,17,3,1,0
cashsw01w,6,458,119,88,43,12,6,47,44,126,48,32,21,16,18,4,1,0
cashsw01w,7,990,358,168,106,20,11,88,85,323,124,143,109,23,11,2,1,0
cashsw01w,8,959,344,189,79,19,13,81,70,307,126,121,92,24,10,1,1,0
cashsw01w,9,927,351,167,58,21,32,69,72,293,114,158,122,22,12,2,1,1
cashsw01w,10,1094,390,214,82,28,16,91,98,355,139,128,102,20,14,2,1,1
cassija01w,1,175,74,23,9,5,2,13,17,55,20,43,30,13,19,6,0,0
castriz01w,3,182,66,17,7,7,0,18,22,72,24,25,17,15,17,6,0,0
castriz01w,4,178,69,12,9,6,1,10,11,71,25,18,11,8,26,7,0,1
castriz01w,6,879,269,97,49,18,4,59,73,242,93,73,59,20,14,2,1,1
castriz01w,7,655,246,72,47,23,2,49,58,194,91,59,39,18,16,4,1,1
castriz01w,8,963,419,96,95,35,4,64,70,331,139,101,81,17,17,4,1,1
castriz01w,9,671,269,65,52,27,6,57,39,272,96,59,48,4,30,7,0,0
