playerID,year,team,minutes,games_played,total_points,total_rebounds,total_assists,points_per_min,assists_per_min,rebounds_per_min,steals_per_min,blocks_per_min,turnovers_per_min,FG%,FT%,Three%,Three Rate,team_wins,team_losses,conference_rank,playoff_made,confID,MVP_winner
maigaha01w,8,HOU,1008,34,310,137,77,0.3075396825396825,0.0763888888888889,0.1359126984126984,0.056547619047619,0.0029761904761904,0.0694444444444444,0.4535315985130111,0.8333333333333334,0.2,0.0185873605947955,13,21,5,0,1,0
maigaha01w,9,HOU,590,26,202,85,39,0.3423728813559322,0.0661016949152542,0.1440677966101695,0.0559322033898305,0.0135593220338983,0.0966101694915254,0.4915254237288136,0.6923076923076923,0.5,0.0112994350282485,17,17,5,0,1,0
maigaha01w,10,SAC,676,34,303,89,37,0.4482248520710059,0.0547337278106508,0.1316568047337278,0.0458579881656804,0.0118343195266272,0.0769230769230769,0.4862745098039215,0.7142857142857143,0.0,0.0039215686274509,12,22,6,0,1,0
malcona01w,2,IND,705,31,257,91,26,0.3645390070921986,0.0368794326241134,0.1290780141843971,0.0184397163120567,0.0042553191489361,0.0680851063829787,0.4245283018867924,0.8709677419354839,0.4107142857142857,0.2641509433962264,10,22,6,0,0,0
malcona01w,3,IND,599,29,156,61,21,0.2604340567612688,0.0350584307178631,0.1018363939899833,0.021702838063439,0.005008347245409,0.0567612687813021,0.3670886075949367,0.7567567567567568,0.2926829268292683,0.2594936708860759,16,16,4,1,0,0
malloso01w,4,PHO,44,6,10,10,0,0.2272727272727272,0.0,0.2272727272727272,0.0227272727272727,0.0909090909090909,0.1363636363636363,0.4444444444444444,1.0,0.0,0.0,8,26,7,0,1,0
maltsev01w,8,CON,482,26,147,66,39,0.3049792531120332,0.0809128630705394,0.1369294605809128,0.0414937759336099,0.0041493775933609,0.0539419087136929,0.3785714285714285,0.75,0.4155844155844156,0.55,18,16,3,1,0,0
mannish01w,1,MIA,403,24,103,100,17,0.2555831265508685,0.0421836228287841,0.2481389578163771,0.0570719602977667,0.009925558312655,0.0967741935483871,0.4782608695652174,0.5384615384615384,0.5,0.0217391304347826,13,19,6,0,0,0
mannkr01w,6,MIN,185,24,71,35,11,0.3837837837837838,0.0594594594594594,0.1891891891891892,0.0432432432432432,0.0054054054054054,0.0378378378378378,0.5,0.6875,0.0,0.15,14,20,6,0,1,0
mannkr01w,7,MIN,894,33,245,113,94,0.2740492170022371,0.105145413870246,0.1263982102908277,0.0212527964205816,0.0078299776286353,0.0559284116331096,0.3865546218487395,0.7352941176470589,0.375,0.4033613445378151,10,24,7,0,1,0
mannkr01w,8,MIN,882,34,258,122,43,0.2925170068027211,0.0487528344671201,0.1383219954648526,0.0351473922902494,0.0079365079365079,0.0306122448979591,0.375,0.7837837837837838,0.3490566037735849,0.4140625,10,24,6,0,1,0
